temperature,humidity,mq2,mq135,label
28.5,40,120,130,safe
28,40,150,140,safe
29.2,42,160,150,safe
30,47,170,160,safe
31.5,48,180,170,safe
33,50,220,180,warning
34.5,52,240,200,warning
35,49,260,210,warning
36.2,55,270,220,warning
37,53,280,230,warning
38.5,56,300,250,warning
39,58,320,260,warning
40.5,60,410,400,critical
41,62,420,410,critical
42.5,65,430,420,critical
43,66,440,430,critical
44.2,68,460,440,critical
45,70,470,450,critical
46.5,72,480,460,critical
47,74,500,470,critical
